machine_code;activation_code;activation_date 
J0892;4318643186;1/15/2015
J0893;9417294172;1/15/2015
J0894;6082760827;1/15/2015
J0895;2310823108;1/15/2015
J0896;5602756027;1/15/2015
J0897;4195241952;1/15/2015
J0922;592546927;1/15/2015
J0923;1726427;1/15/2015
J0924;1336949278;1/15/2015
J0925;1333413664;1/15/2015
J0926;134940360;1/15/2015
J0927;824447287;1/15/2015
J0928;62505594;1/15/2015
J0929;285119956;1/15/2015
J0930;205828026;1/15/2015
J0931;418093933;1/15/2015
J0932;521798732;1/15/2015
J0933;62818199;1/15/2015
J0934;887141961;1/15/2015
J0935;258581276;1/15/2015
J0936;589913776;1/15/2015
J0937;1135922863;1/15/2015
J0938;44905824;1/15/2015
J0939;594819701;1/15/2015
J0940;813811331;1/15/2015
J0941;442338217;1/15/2015
J0942;544929434;1/15/2015
J0943;182889097;1/15/2015
J0944;36796986;1/15/2015
J0945;399715910;1/15/2015
J0946;1314480806;1/15/2015
J0947;1136409219;1/15/2015
J0948;149581211;1/15/2015
J0949;144620712;1/15/2015
J0950;651715550;1/15/2015
J0951;381887558;1/15/2015
J0951;381887558;1/15/2015
J0952;820198201;1/15/2015
J0981;1147361200;1/15/2015
J0982;1105364878;1/15/2015
J0983;1241353183;1/15/2015
J0984;145260708;1/15/2015
J0985;708341139;1/15/2015
J0986;488360191;1/15/2015
J0987;1318844218;1/15/2015
J0988;405050024;1/15/2015
J0989;423070678;1/15/2015
J0990;467962145;1/15/2015
J0991;157636030;1/15/2015
J0992;1220288299;1/15/2015
J0993;678525860;1/15/2015
J0994;672617896;1/15/2015
J0995;324486659;1/15/2015
J0996;280646290;1/15/2015
J0997;797426268;1/15/2015
J0998;368380831;1/15/2015
J0999;227733509;1/15/2015
J1000;1059048651;1/15/2015
J1001;153227293;1/15/2015
J1002;1231801231;1/15/2015
J1003;98302073;1/15/2015
J1004;1256881416;1/15/2015
J1005;808561154;1/15/2015
J1006;356084375;1/15/2015
J1007;14678398;1/15/2015
J1008;1258522390;1/15/2015
J1009;822813749;1/15/2015
J1010;365488514;1/15/2015
J1011;286906559;1/15/2015
J1012;414589030;1/15/2015
J1017;747667901;1/15/2015
J1026;222772991;1/15/2015
J1027;551537234;1/15/2015
J1028;774465237;1/15/2015
J1029;404781558;1/15/2015
J1030;424643173;1/15/2015
J1031;978714802;1/15/2015
J1032;55002112;1/15/2015
J1033;254920163;1/15/2015
J1034;387653403;1/15/2015
J1035;757397774;1/15/2015
J1036;760712711;1/15/2015
J1037;579778065;1/15/2015
J1041;1043019551;1/15/2015
J1042;653674843;1/15/2015
J1043;368375187;1/15/2015
J1044;1333337916;1/15/2015
J1045;182751890;1/15/2015
J1046;706213709;1/15/2015
J1047;1180887920;1/15/2015
J1048;537030370;1/15/2015
J1049;666894735;1/15/2015
J1050;1156820129;1/15/2015
J1051;206962656;1/15/2015
J1052;708832929;1/15/2015
J1053;635917799;1/15/2015
J1054;1350619015;1/15/2015
J1055;326452026;1/15/2015
J1056;925625267;1/15/2015
J1057;1364940324;1/15/2015
J1058;306844675;1/15/2015
J1059;1042251142;1/15/2015
J1060;771554704;1/15/2015
J1120;84788413;1/15/2015
J1121;1403777747;1/15/2015
J1141;734982151;1/15/2015
J1142;7150556;1/15/2015
J1143;731948033;1/15/2015
J1144;821157075;1/15/2015
J1145;490620550;1/15/2015
J1146;848052023;1/15/2015
J1147;1013942432;1/15/2015
J1148;1365525309;1/15/2015
